iter	Passed	Remaining
761	19915	6220
762	19938	6193
763	19962	6166
764	19985	6139
765	20010	6112
766	20035	6086
767	20058	6059
768	20081	6032
769	20102	6004
770	20127	5978
771	20150	5951
772	20173	5924
773	20198	5897
774	20222	5871
775	20248	5844
776	20273	5818
777	20295	5791
778	20319	5764
779	20343	5737
780	20366	5711
781	20390	5684
782	20412	5657
783	20438	5631
784	20461	5604
785	20484	5577
786	20508	5550
787	20531	5523
788	20554	5496
789	20577	5469
790	20600	5443
791	20624	5416
792	20647	5389
793	20672	5363
794	20693	5336
795	20716	5309
796	20738	5282
797	20763	5255
798	20786	5229
799	20809	5202
800	20832	5175
801	20856	5149
802	20880	5122
803	20903	5095
804	20926	5069
805	20949	5042
806	20973	5015
807	20994	4988
808	21018	4962
809	21040	4935
810	21065	4909
811	21090	4883
812	21115	4856
813	21139	4830
814	21160	4803
815	21184	4776
816	21206	4750
817	21230	4723
818	21254	4697
819	21278	4670
820	21302	4644
821	21327	4618
822	21351	4592
823	21375	4565
824	21398	4539
825	21420	4512
826	21445	4486
827	21469	4459
828	21499	4434
829	21522	4408
830	21548	4382
831	21572	4356
832	21597	4329
833	21621	4303
834	21648	4277
835	21673	4251
836	21698	4225
837	21723	4199
838	21748	4173
839	21771	4146
840	21793	4120
841	21817	4094
842	21843	4068
843	21868	4042
844	21896	4016
845	21925	3991
846	21961	3966
847	22008	3944
848	22033	3918
849	22058	3892
850	22085	3866
851	22115	3841
852	22144	3816
853	22171	3790
854	22200	3765
855	22231	3739
856	22266	3715
857	22293	3689
858	22319	3663
859	22343	3637
860	22371	3611
861	22402	3586
862	22429	3560
863	22458	3535
864	22485	3509
865	22510	3483
866	22539	3457
867	22565	3431
868	22591	3405
869	22618	3379
870	22643	3353
871	22669	3327
872	22695	3301
873	22722	3275
874	22747	3249
875	22771	3223
876	22799	3197
877	22825	3171
878	22851	3145
879	22876	3119
880	22902	3093
881	22928	3067
882	22951	3041
883	22975	3014
884	22999	2988
885	23024	2962
886	23050	2936
887	23075	2910
888	23099	2884
889	23123	2857
890	23147	2831
891	23171	2805
892	23195	2779
893	23221	2753
894	23246	2727
895	23274	2701
896	23299	2675
897	23323	2649
898	23347	2623
899	23374	2597
900	23395	2570
901	23419	2544
902	23444	2518
903	23469	2492
904	23493	2466
905	23521	2440
906	23545	2414
907	23570	2388
908	23595	2362
909	23619	2335
910	23645	2310
911	23669	2283
912	23695	2257
913	23722	2232
914	23746	2206
915	23770	2179
916	23793	2153
917	23818	2127
918	23841	2101
919	23865	2075
920	23890	2049
921	23915	2023
922	23940	1997
923	23967	1971
924	23995	1945
925	24022	1919
926	24048	1893
927	24074	1867
928	24098	1841
929	24125	1815
930	24150	1789
931	24174	1763
932	24197	1737
933	24229	1712
934	24258	1686
935	24286	1660
936	24313	1634
937	24342	1608
938	24377	1583
939	24406	1557
940	24434	1532
941	24460	1506
942	24490	1480
943	24519	1454
944	24542	1428
945	24566	1402
946	24591	1376
947	24617	1350
948	24640	1324
949	24665	1298
950	24690	1272
951	24718	1246
952	24747	1220
953	24774	1194
954	24801	1168
955	24827	1142
956	24852	1116
957	24880	1090
958	24905	1064
959	24931	1038
960	24956	1012
961	24983	986
962	25008	960
963	25034	934
964	25057	908
965	25082	882
966	25105	856
967	25130	830
968	25153	804
969	25179	778
970	25202	752
971	25227	726
972	25253	700
973	25279	674
974	25302	648
975	25325	622
976	25348	596
977	25371	570
978	25395	544
979	25418	518
980	25443	492
981	25467	466
982	25494	440
983	25517	414
984	25541	388
985	25564	362
986	25588	337
987	25613	311
988	25637	285
989	25662	259
990	25696	233
991	25736	207
992	25760	181
993	25784	155
994	25806	129
995	25829	103
996	25859	77
997	25882	51
998	25911	25
999	25937	0
